job_title,job_url,company_name,experience,salary,location,skills,description,search_keyword,search_location,scraped_at,source,posted_date,job_title_clean,company_name_clean,salary_min_lpa,salary_max_lpa,salary_avg_lpa,exp_min_years,exp_max_years,experience_level,primary_city,is_remote,is_hybrid,text_to_search,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_r,has_statistics,has_machine_learning,has_data_visualization,has_etl,has_pandas,has_numpy,has_scikit-learn,has_aws,has_azure,has_big_data,total_skills_mentioned,cleaned_at,days_since_scraped
Data Analyst (Python),https://www.naukri.com/job-listings-data-analyst-python-kpmg-assurance-and-consulting-services-llp-pune-gurugram-bengaluru-6-to-9-years-290925018809,KPMG Assurance and Consulting Services LLP,6-9 Yrs,Not Disclosed,"Pune, Gurugram, Bengaluru","Pyspark, python, Credit Risk, Spark, SQL, Credit Risk Management, Data Analytics, ETL, Save",,data-analyst,pune,2025-12-04 12:14:09,Naukri,,Data Analyst,KPMG Assurance and Consulting Services LLP,,,,6.0,9.0,Senior Level (5+ years),Pune,False,False," pyspark, python, credit risk, spark, sql, credit risk management, data analytics, etl, save",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,4,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-lektronix-noida-new-delhi-pune-bengaluru-1-to-3-years-151025501401,Lektronix,1-3 Yrs,Not Disclosed,"Pune, Noida, New Delhi, Bengaluru","Computer science, Change management, Automation, Data modeling, Data Analyst, Data analytics, Data mining, Continuous improvement, Save",,data-analyst,pune,2025-12-04 12:14:10,Naukri,,Data Analyst,Lektronix,,,,1.0,3.0,Entry Level (0-2 years),Pune,False,False," computer science, change management, automation, data modeling, data analyst, data analytics, data mining, continuous improvement, save",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-maddisoft-solutions-hyderabad-pune-7-to-10-years-171025001137,https://maddisoft.com/about/,7-10 Yrs,Not Disclosed,"Pune, Hyderabad","Power Bi, Data Analysis, Data Reporting, Python, Reporting, Data, Analysis, Bi, Save",,data-analyst,pune,2025-12-04 12:14:10,Naukri,,Data Analyst,https://maddisoft.com/about/,,,,7.0,10.0,Senior Level (5+ years),Pune,False,False," power bi, data analysis, data reporting, python, reporting, data, analysis, bi, save",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-syngenta-pune-5-to-10-years-101125003953,Syngenta,5-10 Yrs,Not Disclosed,Pune,"Etl Process, ETL, PLM, Mdg, Data Migration, Data Management, MDM, Data Analytics, Save",,data-analyst,pune,2025-12-04 12:14:11,Naukri,,Data Analyst,Syngenta,,,,5.0,10.0,Mid Level (3-5 years),Pune,False,False," etl process, etl, plm, mdg, data migration, data management, mdm, data analytics, save",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Azure Data Analyst,https://www.naukri.com/job-listings-azure-data-analyst-capgemini-noida-hyderabad-pune-4-to-9-years-021225012762,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Pune, Noida, Hyderabad","Gen Ai, Power BI, Azure data lake, SQL, Python, Azure data factory, Snowflake, Aiml, Save",,data-analyst,pune,2025-12-04 12:14:11,Naukri,,Data Analyst,Capgemini,,,,4.0,9.0,Mid Level (3-5 years),Pune,False,True," gen ai, power bi, azure data lake, sql, python, azure data factory, snowflake, aiml, save",True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,5,2025-12-09 20:13:03,5
Data Engineer / Data Analyst (Hybrid Role),https://www.naukri.com/job-listings-data-engineer-data-analyst-hybrid-role-accion-labs-pune-bengaluru-mumbai-all-areas-9-to-14-years-261125035163,Accion Labs,9-14 Yrs,Not Disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","SQL, Python, Airflow, GCP, Bigquery, Redshift Aws, Statistical Analyses, Spark, Save",,data-analyst,pune,2025-12-04 12:14:11,Naukri,,Data Analyst,Accion Labs,,,,9.0,14.0,Senior Level (5+ years),Pune,False,True," sql, python, airflow, gcp, bigquery, redshift aws, statistical analyses, spark, save",True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,5,2025-12-09 20:13:03,5
Data Analyst with Hadoop,https://www.naukri.com/job-listings-data-analyst-with-hadoop-asky-services-hyderabad-pune-gurugram-bengaluru-5-to-7-years-270825502639,Asky Services Llp,5-7 Yrs,Not Disclosed,"Pune, Hyderabad, Gurugram, Bengaluru","metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, Save",,data-analyst,pune,2025-12-04 12:14:12,Naukri,,Data Analyst,Asky Services Llp,,,,5.0,7.0,Mid Level (3-5 years),Pune,False,False," metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, save",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Winfrox Hiring Remote Data Analysts,https://www.naukri.com/job-listings-winfrox-hiring-remote-data-analysts-digital-solution-tech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-300725501563,Digital Solution Tech,0-4 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru","Data analysis, tableau, Usage, Excel, data manipulation, Analytical, power bi, Data Analyst, Save",,data-analyst,pune,2025-12-04 12:14:23,Naukri,,Data Analyst,Digital Solution Tech,,,,0.0,4.0,Fresher (0 years),Pune,False,False," data analysis, tableau, usage, excel, data manipulation, analytical, power bi, data analyst, save",False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,3,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-kansal-corporate-solutions-pune-bengaluru-mumbai-all-areas-mangalore-3-to-5-years-241125031735,Osfin,3-5 Yrs,8-11 Lacs PA,"Pune, Bengaluru, Mumbai (All Areas), Mangalore","Data Analysis, Advanced Excel, Database Development, SQL, Data, Analysis, Excel, DBMS, Save",,data-analyst,pune,2025-12-04 12:14:24,Naukri,,Data Analyst,Osfin,8.0,11.0,9.5,3.0,5.0,Mid Level (3-5 years),Pune,False,False," data analysis, advanced excel, database development, sql, data, analysis, excel, dbms, save",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-novel-office-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-050525502090,Novel Office,0-2 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru","Analytical skills, Data validation, Excel, VLOOKUP, Report writing, MySQL, Data collection, Data Analyst, Save",,data-analyst,pune,2025-12-04 12:14:24,Naukri,,Data Analyst,Novel Office,,,,0.0,2.0,Fresher (0 years),Pune,False,False," analytical skills, data validation, excel, vlookup, report writing, mysql, data collection, data analyst, save",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2025-12-09 20:13:03,5
